Date,Predicted
2019-10-18,51723.91024
2019-10-21,51662.80671
2019-10-22,51658.68729
2019-10-23,51735.77694
2019-10-24,51824.86531
2019-10-25,51844.71927
2019-10-28,51792.6942
2019-10-29,51742.75464
2019-10-30,51768.59985
2019-10-31,51860.56848
2019-11-01,51932.59504
2019-11-04,51923.37223
2019-11-05,51861.75362
2019-11-06,51832.31726
2019-11-07,51886.82249
2019-11-08,51982.8561
2019-11-11,52030.07508
2019-11-12,51995.35918
2019-11-13,51934.91537
2019-11-14,51932.50049
2019-11-15,52010.25042
2019-11-18,52099.0081
2019-11-19,52117.19485
2019-11-20,52064.06373
2019-11-21,52015.45723
2019-11-22,52042.80087
2019-11-25,52135.04234
2019-11-26,52206.27967
2019-11-27,52195.27567
2019-11-28,52133.33139
2019-11-29,52105.64095
2019-12-02,52161.26941
2019-12-03,52257.1748
2019-12-04,52303.18787
2019-12-05,52266.88211
2019-12-06,52206.94301
2019-12-09,52206.38227
2019-12-10,52284.78673
2019-12-11,52373.01792
2019-12-12,52389.70583
2019-12-13,52335.46692
2019-12-16,52288.09169
2019-12-17,52317.10864
2019-12-18,52409.50955
2019-12-19,52479.84903
2019-12-20,52467.25345
2019-12-23,52404.89711
2019-12-24,52378.93464
2019-12-26,52435.82886
2019-12-27,52531.42291
2019-12-30,52576.23113
2020-01-02,52538.48968
2020-01-03,52478.92386
2020-01-06,52480.28365
2020-01-07,52559.40806
2020-01-08,52646.91612
2020-01-09,52662.20506
2020-01-10,52606.93777
2020-01-13,52560.66668
2020-01-14,52591.48018
2020-01-15,52684.01014
2020-01-16,52753.29808
2020-01-17,52739.27172
2020-01-20,52676.49585
2020-01-21,52652.18101
2020-01-22,52710.47636
2020-01-23,52805.64444
2020-01-28,52849.17724
2020-01-29,52810.17066
2020-01-30,52750.89942
2020-01-31,52754.16882
2020-02-03,52834.11422
2020-02-04,52920.7368
2020-02-05,52934.65275
2020-02-06,52878.48924
2020-02-07,52833.20784
2020-02-10,52865.87364
2020-02-11,52958.56606
2020-02-12,53026.64142
2020-02-13,53011.29181
2020-02-14,52948.15886
2020-02-17,52925.38336
2020-02-18,52985.17724
2020-02-19,53079.87478
2020-02-20,53122.01852
2020-02-21,53081.8993
2020-02-24,53022.90822
2020-02-25,53028.01963
2020-02-26,53108.88759
2020-02-27,53194.51677
2020-02-28,53207.02325
2020-03-02,53150.11543
2020-03-03,53105.74862
2020-03-04,53140.25678
2020-03-05,53233.18054
2020-03-06,53299.90585
2020-03-09,53283.27954
2020-03-10,53219.90026
2020-03-11,53198.56032
2020-03-12,53259.8961
2020-03-13,53354.13512
2020-03-16,53394.76443
2020-03-17,53353.64419
2020-03-18,53294.97845
2020-03-19,53301.83544
2020-03-20,53383.70056
2020-03-23,53468.28708
2020-03-24,53479.30732
2020-03-25,53421.79714
2020-03-26,53378.32154
2020-03-27,53414.61142
2020-03-30,53507.84144
2020-03-31,53573.12194
2020-04-01,53555.2115
2020-04-02,53491.71803
2020-04-03,53471.73844
2020-04-06,53534.60423
2020-04-07,53628.43106
2020-04-08,53667.43576
2020-04-09,53625.37622
2020-04-10,53567.12451
2020-04-13,53575.62917
2020-04-14,53658.52346
2020-04-16,53742.06778
2020-04-17,53751.51052
2020-04-20,53693.50907
2020-04-21,53650.95163
2020-04-22,53688.93405
2020-04-23,53782.52714
2020-04-24,53846.31677
2020-04-27,53827.07769
2020-04-28,53763.59818
2020-04-29,53744.94483
2020-05-04,53809.28404
2020-05-06,53902.75487
2020-05-07,53940.05777
2020-05-08,53897.07436
2020-05-11,53839.34708
2020-05-12,53849.42156
2020-05-13,53933.33108
2020-05-14,54015.8661
2020-05-15,54023.64876
2020-05-18,53965.22663
2020-05-19,53923.65288
2020-05-20,53963.23316
2020-05-21,54057.21306
2020-05-22,54119.50903
2020-05-25,54098.88073
2020-05-26,54035.52049
2020-05-27,54018.20136
2020-05-28,54083.93012
2020-05-29,54177.08993
2020-06-01,54212.65392
2020-06-02,54168.72835
2020-06-03,54111.63622
2020-06-04,54123.23496
2020-06-05,54208.10685
2020-06-08,54289.67774
2020-06-09,54295.74276
2020-06-10,54236.93107
2020-06-11,54196.4278
2020-06-12,54237.52462
2020-06-15,54331.87736
2020-06-16,54392.70694
2020-06-17,54370.63259
2020-06-18,54307.46426
2020-06-19,54291.52119
2020-06-22,54358.54749
2020-06-23,54451.41619
2020-06-24,54485.24138
2020-06-25,54440.33861
2020-06-26,54383.97587
2020-06-29,54397.0882
2020-06-30,54482.84422
2020-07-01,54563.49032
2020-07-02,54567.81269
2020-07-03,54508.61224
2020-07-06,54469.26952
2020-07-07,54511.82662
2020-07-08,54606.50481
2020-07-09,54665.90891
2020-07-10,54642.35009
2020-07-13,54579.41291
2020-07-14,54564.90796
2020-07-15,54633.14809
2020-07-16,54725.71502
2020-07-17,54757.82893
2020-07-20,54711.91391
2020-07-21,54656.34869
2020-07-22,54670.99336
2020-07-23,54757.54565
2020-07-24,54837.28774
2020-07-27,54839.87418
2020-07-28,54780.26894
2020-07-29,54742.16537
2020-07-30,54786.15522
2020-07-31,54881.08833
2020-08-03,54939.10603
2020-08-04,54914.05045
2020-08-05,54851.3566
2020-08-06,54838.35711
2020-08-07,54907.74658
2020-08-10,54999.97268
